"chr" "start" "end" "label" "width"
"1" "chr1" 124535435 249250621 "q" 124715187
"2" "chr1" 0 121535433 "p" 121535434
"3" "chr1" 121535434 124535434 "centromere" 3000001
"4" "chr10" 42254936 135534747 "q" 93279812
"5" "chr10" 0 39254934 "p" 39254935
"6" "chr10" 39254935 42254935 "centromere" 3000001
"7" "chr11" 54644206 135006516 "q" 80362311
"8" "chr11" 0 51644204 "p" 51644205
"9" "chr11" 51644205 54644205 "centromere" 3000001
"10" "chr12" 37856695 133851895 "q" 95995201
"11" "chr12" 0 34856693 "p" 34856694
"12" "chr12" 34856694 37856694 "centromere" 3000001
"13" "chr13" 19000001 115169878 "q" 96169878
"14" "chr13" 0 15999999 "p" 1.6e+07
"15" "chr13" 1.6e+07 1.9e+07 "centromere" 3000001
"16" "chr14" 19000001 107349540 "q" 88349540
"17" "chr14" 0 15999999 "p" 1.6e+07
"18" "chr14" 1.6e+07 1.9e+07 "centromere" 3000001
"19" "chr15" 20000001 102531392 "q" 82531392
"20" "chr15" 0 16999999 "p" 1.7e+07
"21" "chr15" 1.7e+07 2e+07 "centromere" 3000001
"22" "chr16" 38335802 90354753 "q" 52018952
"23" "chr16" 0 35335800 "p" 35335801
"24" "chr16" 35335801 38335801 "centromere" 3000001
"25" "chr17" 25263007 81195210 "q" 55932204
"26" "chr17" 0 22263005 "p" 22263006
"27" "chr17" 22263006 25263006 "centromere" 3000001
"28" "chr18" 18460899 78077248 "q" 59616350
"29" "chr18" 0 15460897 "p" 15460898
"30" "chr18" 15460898 18460898 "centromere" 3000001
"31" "chr19" 27681783 59128983 "q" 31447201
"32" "chr19" 0 24681781 "p" 24681782
"33" "chr19" 24681782 27681782 "centromere" 3000001
"34" "chr2" 95326172 243199373 "q" 147873202
"35" "chr2" 0 92326170 "p" 92326171
"36" "chr2" 92326171 95326171 "centromere" 3000001
"37" "chr20" 29369570 63025520 "q" 33655951
"38" "chr20" 0 26369568 "p" 26369569
"39" "chr20" 26369569 29369569 "centromere" 3000001
"40" "chr21" 14288130 48129895 "q" 33841766
"41" "chr21" 0 11288128 "p" 11288129
"42" "chr21" 11288129 14288129 "centromere" 3000001
"43" "chr22" 16000001 51304566 "q" 35304566
"44" "chr22" 0 12999999 "p" 1.3e+07
"45" "chr22" 1.3e+07 1.6e+07 "centromere" 3000001
"46" "chr3" 93504855 198022430 "q" 104517576
"47" "chr3" 0 90504853 "p" 90504854
"48" "chr3" 90504854 93504854 "centromere" 3000001
"49" "chr4" 52660118 191154276 "q" 138494159
"50" "chr4" 0 49660116 "p" 49660117
"51" "chr4" 49660117 52660117 "centromere" 3000001
"52" "chr5" 49405642 180915260 "q" 131509619
"53" "chr5" 0 46405640 "p" 46405641
"54" "chr5" 46405641 49405641 "centromere" 3000001
"55" "chr6" 61830167 171115067 "q" 109284901
"56" "chr6" 0 58830165 "p" 58830166
"57" "chr6" 58830166 61830166 "centromere" 3000001
"58" "chr7" 61054332 159138663 "q" 98084332
"59" "chr7" 0 58054330 "p" 58054331
"60" "chr7" 58054331 61054331 "centromere" 3000001
"61" "chr8" 46838888 146364022 "q" 99525135
"62" "chr8" 0 43838886 "p" 43838887
"63" "chr8" 43838887 46838887 "centromere" 3000001
"64" "chr9" 50367680 141213431 "q" 90845752
"65" "chr9" 0 47367678 "p" 47367679
"66" "chr9" 47367679 50367679 "centromere" 3000001
"67" "chrX" 61632013 155270560 "q" 93638548
"68" "chrX" 0 58632011 "p" 58632012
"69" "chrX" 58632012 61632012 "centromere" 3000001
"70" "chrY" 13104554 59373566 "q" 46269013
"71" "chrY" 0 10104552 "p" 10104553
"72" "chrY" 10104553 13104553 "centromere" 3000001
